Tid,Elgeseter NO2 µg/m³ Hour,Dekning,Elgeseter PM10 µg/m³ Hour,Dekning.1,Elgeseter PM2.5 µg/m³ Hour,Dekning.2
01.01.2024 00:00,,,,,,
01.01.2024 01:00,,0.0,"16,320782",100.0,"13,874108",100.0
01.01.2024 02:00,,0.0,"0,894834",100.0,"0,278697",100.0
01.01.2024 03:00,,0.0,"4,671046",100.0,"4,348094",100.0
01.01.2024 04:00,,0.0,"5,422092",100.0,"5,007371",100.0
01.01.2024 05:00,,0.0,"2,339834",100.0,"1,875347",100.0
01.01.2024 06:00,,0.0,"2,137626",100.0,"1,442142",100.0
01.01.2024 07:00,,0.0,"-1,391566",100.0,"-1,78114",100.0
01.01.2024 08:00,,0.0,"1,199977",100.0,"0,566851",100.0
01.01.2024 09:00,,0.0,"5,801684",100.0,"5,142869",100.0
01.01.2024 10:00,,0.0,"8,075963",100.0,"7,376581",100.0
01.01.2024 11:00,,0.0,"5,671418",100.0,"4,9206",100.0
01.01.2024 12:00,,0.0,"1,27628",100.0,"0,478767",100.0
01.01.2024 13:00,,0.0,"1,77337",100.0,"0,822775",100.0
01.01.2024 14:00,,0.0,"2,530471",100.0,"1,389798",100.0
01.01.2024 15:00,,0.0,"6,767368",100.0,"5,126143",100.0
01.01.2024 16:00,,0.0,"4,526323",100.0,"3,349947",100.0
01.01.2024 17:00,,0.0,"3,448207",100.0,"2,519486",100.0
01.01.2024 18:00,,0.0,"2,413859",100.0,"1,442893",100.0
01.01.2024 19:00,,0.0,"2,393185",100.0,"1,834682",100.0
01.01.2024 20:00,,0.0,"5,334248",100.0,"4,683567",100.0
01.01.2024 21:00,,0.0,"4,599137",100.0,"3,806583",100.0
01.01.2024 22:00,,0.0,"3,197361",100.0,"2,302481",100.0
01.01.2024 23:00,,0.0,"3,558319",100.0,"2,891224",100.0
02.01.2024 00:00,,0.0,"1,34275",100.0,"0,79756",100.0
02.01.2024 01:00,,0.0,"0,301602",100.0,"-0,348576",100.0
02.01.2024 02:00,,0.0,"1,538406",100.0,"1,330994",100.0
02.01.2024 03:00,,0.0,"3,702377",100.0,"2,061497",100.0
02.01.2024 04:00,,0.0,"8,041639",100.0,"7,44967",100.0
02.01.2024 05:00,,0.0,"2,93575",100.0,"1,792458",100.0
02.01.2024 06:00,,0.0,"2,053498",100.0,"1,485515",100.0
02.01.2024 07:00,,0.0,"6,695901",100.0,"4,499688",100.0
02.01.2024 08:00,,0.0,"5,255208",100.0,"3,603408",100.0
02.01.2024 09:00,,0.0,"6,826492",100.0,"5,085473",100.0
02.01.2024 10:00,,0.0,"0,633957",100.0,"-0,064764",100.0
02.01.2024 11:00,,0.0,"1,79458",100.0,"-2,243311",100.0
02.01.2024 12:00,,0.0,"5,388989",100.0,"2,265256",100.0
02.01.2024 13:00,,0.0,"3,429413",100.0,"0,5811",100.0
02.01.2024 14:00,,0.0,"2,372517",100.0,"0,8277",100.0
02.01.2024 15:00,,0.0,"6,953435",100.0,"4,751787",100.0
02.01.2024 16:00,,0.0,"3,265553",100.0,"0,528064",100.0
02.01.2024 17:00,,0.0,"4,32933",100.0,"2,695759",100.0
02.01.2024 18:00,,0.0,"6,010157",100.0,"3,305235",100.0
02.01.2024 19:00,,0.0,"5,577491",100.0,"3,235849",100.0
02.01.2024 20:00,,0.0,"1,573063",100.0,"0,897946",100.0
02.01.2024 21:00,,0.0,"8,748629",100.0,"7,888616",100.0
02.01.2024 22:00,,0.0,"0,852569",100.0,"-0,302392",100.0
02.01.2024 23:00,,0.0,"5,254636",100.0,"4,013121",100.0
