kilde (aktivitet),komponent,år,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)"
0 Alle kilder,Klimagasser i alt,1990,51348
0 Alle kilder,Klimagasser i alt,1991,48987
0 Alle kilder,Klimagasser i alt,1992,47450
0 Alle kilder,Klimagasser i alt,1993,49379
0 Alle kilder,Klimagasser i alt,1994,51331
0 Alle kilder,Klimagasser i alt,1995,51741
0 Alle kilder,Klimagasser i alt,1996,54642
0 Alle kilder,Klimagasser i alt,1997,54619
0 Alle kilder,Klimagasser i alt,1998,54694
0 Alle kilder,Klimagasser i alt,1999,55698
0 Alle kilder,Klimagasser i alt,2000,55092
0 Alle kilder,Klimagasser i alt,2001,56344
0 Alle kilder,Klimagasser i alt,2002,55034
0 Alle kilder,Klimagasser i alt,2003,55655
0 Alle kilder,Klimagasser i alt,2004,56028
0 Alle kilder,Klimagasser i alt,2005,54897
0 Alle kilder,Klimagasser i alt,2006,54870
0 Alle kilder,Klimagasser i alt,2007,56548
0 Alle kilder,Klimagasser i alt,2008,55026
0 Alle kilder,Klimagasser i alt,2009,52541
0 Alle kilder,Klimagasser i alt,2010,54855
0 Alle kilder,Klimagasser i alt,2011,53848
0 Alle kilder,Klimagasser i alt,2012,53258
0 Alle kilder,Klimagasser i alt,2013,53481
0 Alle kilder,Klimagasser i alt,2014,53878
0 Alle kilder,Klimagasser i alt,2015,54417
0 Alle kilder,Klimagasser i alt,2016,53533
0 Alle kilder,Klimagasser i alt,2017,52838
0 Alle kilder,Klimagasser i alt,2018,52991
0 Alle kilder,Klimagasser i alt,2019,51223
0 Alle kilder,Klimagasser i alt,2020,49499
0 Alle kilder,Klimagasser i alt,2021,49325
0 Alle kilder,Klimagasser i alt,2022,48973
0 Alle kilder,Klimagasser i alt,2023,46654
1 Olje- og gassutvinning,Klimagasser i alt,1990,8254
1 Olje- og gassutvinning,Klimagasser i alt,1991,8127
1 Olje- og gassutvinning,Klimagasser i alt,1992,8728
1 Olje- og gassutvinning,Klimagasser i alt,1993,9257
1 Olje- og gassutvinning,Klimagasser i alt,1994,10053
1 Olje- og gassutvinning,Klimagasser i alt,1995,10237
1 Olje- og gassutvinning,Klimagasser i alt,1996,11139
1 Olje- og gassutvinning,Klimagasser i alt,1997,11641
1 Olje- og gassutvinning,Klimagasser i alt,1998,11308
1 Olje- og gassutvinning,Klimagasser i alt,1999,11829
1 Olje- og gassutvinning,Klimagasser i alt,2000,13172
1 Olje- og gassutvinning,Klimagasser i alt,2001,14140
1 Olje- og gassutvinning,Klimagasser i alt,2002,13809
1 Olje- og gassutvinning,Klimagasser i alt,2003,13942
1 Olje- og gassutvinning,Klimagasser i alt,2004,14169
1 Olje- og gassutvinning,Klimagasser i alt,2005,14108
1 Olje- og gassutvinning,Klimagasser i alt,2006,13706
1 Olje- og gassutvinning,Klimagasser i alt,2007,15165
1 Olje- og gassutvinning,Klimagasser i alt,2008,14810
1 Olje- og gassutvinning,Klimagasser i alt,2009,13683
1 Olje- og gassutvinning,Klimagasser i alt,2010,13786
1 Olje- og gassutvinning,Klimagasser i alt,2011,13472
1 Olje- og gassutvinning,Klimagasser i alt,2012,13575
1 Olje- og gassutvinning,Klimagasser i alt,2013,13543
1 Olje- og gassutvinning,Klimagasser i alt,2014,14231
1 Olje- og gassutvinning,Klimagasser i alt,2015,14770
1 Olje- og gassutvinning,Klimagasser i alt,2016,14472
1 Olje- og gassutvinning,Klimagasser i alt,2017,14206
1 Olje- og gassutvinning,Klimagasser i alt,2018,14055
1 Olje- og gassutvinning,Klimagasser i alt,2019,13888
1 Olje- og gassutvinning,Klimagasser i alt,2020,13162
1 Olje- og gassutvinning,Klimagasser i alt,2021,12122
1 Olje- og gassutvinning,Klimagasser i alt,2022,12085
1 Olje- og gassutvinning,Klimagasser i alt,2023,11561
2 Industri og bergverk,Klimagasser i alt,1990,19140
2 Industri og bergverk,Klimagasser i alt,1991,17620
2 Industri og bergverk,Klimagasser i alt,1992,15377
2 Industri og bergverk,Klimagasser i alt,1993,16325
