from,to,variables.pm10_concentration.value,variables.pm25_concentration.value,variables.no2_concentration.value
2025-05-08 06:00:00+00:00,2025-05-08T06:00:00Z,23.253917694091797,6.154152870178223,43.915245056152344
2025-05-08 07:00:00+00:00,2025-05-08T07:00:00Z,17.1727294921875,5.774292945861816,39.64411544799805
2025-05-08 08:00:00+00:00,2025-05-08T08:00:00Z,26.486543655395508,6.757623195648193,42.776206970214844
2025-05-08 09:00:00+00:00,2025-05-08T09:00:00Z,32.125091552734375,7.286569595336914,42.70390319824219
2025-05-08 10:00:00+00:00,2025-05-08T10:00:00Z,21.767724990844727,5.5887250900268555,24.484851837158203
2025-05-08 11:00:00+00:00,2025-05-08T11:00:00Z,16.119617462158203,4.823416709899902,15.520423889160156
2025-05-08 12:00:00+00:00,2025-05-08T12:00:00Z,16.05071258544922,4.810352802276611,25.723188400268555
2025-05-08 13:00:00+00:00,2025-05-08T13:00:00Z,16.794231414794922,4.820882797241211,100.632015228271484
2025-05-08 14:00:00+00:00,2025-05-08T14:00:00Z,17.077133178710938,4.82597017288208,150.10680389404297
2025-05-08 15:00:00+00:00,2025-05-08T15:00:00Z,15.358243942260742,4.559764862060547,200.589046478271484
2025-05-08 16:00:00+00:00,2025-05-08T16:00:00Z,13.975685119628906,4.394245147705078,190.88477897644043
2025-05-08 17:00:00+00:00,2025-05-08T17:00:00Z,13.691352844238281,4.633581161499023,150.321676254272461
2025-05-08 18:00:00+00:00,2025-05-08T18:00:00Z,13.244494438171387,4.542958736419678,101.780071258544922
2025-05-08 19:00:00+00:00,2025-05-08T19:00:00Z,13.136061668395996,4.656299591064453,100.661235809326172
2025-05-08 20:00:00+00:00,2025-05-08T20:00:00Z,12.272077560424805,14.360899925231934,39.994531631469727
2025-05-08 21:00:00+00:00,2025-05-08T21:00:00Z,20.787887573242188,26.963043689727783,30.397684097290039
2025-05-08 22:00:00+00:00,2025-05-08T22:00:00Z,28.789794921875,16.6234755516052246,11.007665634155273
2025-05-08 23:00:00+00:00,2025-05-08T23:00:00Z,55.764629364013672,10.529081344604492,8.813552856445312
