time,data_instant_details_air_pressure_at_sea_level,data_instant_details_air_temperature,data_instant_details_cloud_area_fraction,data_instant_details_relative_humidity,data_instant_details_wind_from_direction,data_instant_details_wind_speed,data_next_12_hours_summary_symbol_code,data_next_1_hours_summary_symbol_code,data_next_1_hours_details_precipitation_amount,data_next_6_hours_summary_symbol_code,data_next_6_hours_details_precipitation_amount
2025-03-11T13:00:00Z,1004.0,-0.6,100.0,79.1,116.2,1.5,snow,lightsnow,0.2,snow,1.3
2025-03-11T14:00:00Z,1003.6,-0.6,100.0,79.4,92.2,1.6,snow,lightsnow,0.2,snow,1.3
2025-03-11T15:00:00Z,1003.5,-0.9,100.0,80.6,84.5,1.7,snow,lightsnow,0.2,snow,1.4
2025-03-11T16:00:00Z,1003.4,-1.4,100.0,82.7,92.6,1.7,snow,lightsnow,0.2,snow,1.6
2025-03-11T17:00:00Z,1003.3,-1.8,100.0,86.0,84.8,1.6,snow,lightsnow,0.2,snow,1.8
2025-03-11T18:00:00Z,1003.5,-2.1,100.0,89.5,30.7,1.5,snow,lightsnow,0.2,snow,1.8
2025-03-11T19:00:00Z,1003.6,-2.3,100.0,90.7,28.2,1.6,snow,snow,0.3,snow,1.9
2025-03-11T20:00:00Z,1003.7,-2.5,100.0,90.0,31.1,1.9,snow,snow,0.3,snow,1.9
2025-03-11T21:00:00Z,1003.7,-2.6,100.0,90.0,28.9,1.9,lightsnow,snow,0.4,snow,1.9
2025-03-11T22:00:00Z,1003.6,-2.8,100.0,90.2,30.8,2.2,lightsnow,snow,0.4,snow,1.8
2025-03-11T23:00:00Z,1003.5,-3.0,100.0,89.7,31.3,2.4,lightsnow,snow,0.3,snow,1.6
2025-03-12T00:00:00Z,1003.4,-3.1,100.0,89.3,31.4,2.4,lightsnow,snow,0.3,snow,1.4
2025-03-12T01:00:00Z,1003.3,-3.2,100.0,88.9,30.2,2.4,lightsnow,snow,0.3,snow,1.3
2025-03-12T02:00:00Z,1003.1,-3.4,100.0,88.4,30.9,2.5,lightsnow,snow,0.3,snow,1.1
2025-03-12T03:00:00Z,1002.9,-3.4,100.0,88.5,29.9,2.3,lightsnow,lightsnow,0.2,lightsnow,0.9
2025-03-12T04:00:00Z,1002.9,-3.4,100.0,88.6,28.2,2.2,lightsnow,lightsnow,0.2,lightsnow,0.7
2025-03-12T05:00:00Z,1003.0,-3.5,99.9,88.1,28.6,2.3,lightsnow,lightsnow,0.1,lightsnow,0.6
2025-03-12T06:00:00Z,1003.2,-3.5,100.0,88.3,31.5,1.9,cloudy,lightsnow,0.1,cloudy,0.0
